Unnamed: 0,고객ID,Duration,총과금액,평균과금액,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,연령대,마지막과금일,최초과금일,평균유지기간(월),LTV2,Cluster,1년이후잔존확률,2년이후잔존확률
2075,C-12123,,610700,40713.33333,여성,25,No,No,0,0,Yes,신용카드,No,No,No,Yes,46,2020-10-01,2022-01-01,No,67,,2496,4,0,20대,2021-12-01,2020-10-01 00:00:00,14.2,578129.3333,0,0.621504816,0.543878983
2076,C-12124,,6402700,94157.35294,여성,51,Yes,Yes,2,10,No,신용카드,Yes,Yes,Yes,Yes,30,2016-05-01,2022-01-01,No,62,,5907,4,29270,50대,2021-12-01,2016-05-01 00:00:00,68,6402700,2,1,1
2077,C-12125,,634500,30214.28571,남성,24,No,No,0,0,Yes,이체/메일확인,No,No,No,Yes,52,2020-04-01,2022-01-01,No,49,,2323,5,0,20대,2021-12-01,2020-04-01 00:00:00,20.3,613350,0,0.761410068,0.692524659
2078,C-12126,,5726400,88098.46154,여성,75,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,15,2016-08-01,2022-01-01,No,45,,6469,3,18870,70대,2021-12-01,2016-08-01 00:00:00,64.93333333,5720526.769,0,0.999166667,0.994443845
2079,C-12127,,5193100,69241.33333,여성,35,No,No,0,0,No,신용카드,No,No,No,Yes,9,2015-10-01,2022-01-01,No,63,,6312,3,30960,30대,2021-12-01,2015-10-01 00:00:00,75.1,5200024.133,0,1,0.995748394
2080,C-12128,,3022400,64306.38298,남성,64,No,No,0,0,No,신용카드,Yes,No,No,Yes,21,2018-02-01,2022-01-01,No,24,,5498,3,23050,60대,2021-12-01,2018-02-01 00:00:00,46.63333333,2998820.993,0,0.994931499,0.93857788
2081,C-12129,1249,5212900,124116.6667,남성,36,Yes,No,0,1,Yes,계좌이체,No,No,Yes,Yes,10,2018-03-01,2021-08-01,Yes,84,Competitor,2098,1,50850,30대,2021-08-01,2018-03-01 00:00:00,41.63333333,5167390.556,0,0.996254035,0.981362991
2082,C-12130,,750900,30036,남성,37,No,No,0,0,Yes,계좌이체,No,No,No,Yes,16,2019-12-01,2022-01-01,No,53,,4943,5,0,30대,2021-12-01,2019-12-01 00:00:00,24.36666667,731877.2,0,0.816866484,0.742328493
2083,C-12131,,2143500,82442.30769,남성,52,Yes,Yes,3,8,No,신용카드,Yes,Yes,No,Yes,76,2019-11-01,2022-01-01,No,24,,2871,3,3390,50대,2021-12-01,2019-11-01 00:00:00,25.36666667,2091286.538,2,0.997495482,0.975410588
2084,C-12132,,603200,23200,남성,27,No,No,0,0,No,신용카드,No,No,No,No,0,2019-11-01,2022-01-01,No,34,,3854,3,49160,20대,2021-12-01,2019-11-01 00:00:00,25.36666667,588506.6667,1,0.994697774,0.991767531
2085,C-12133,,6997000,111063.4921,여성,41,Yes,Yes,3,9,Yes,계좌이체,Yes,Yes,No,Yes,75,2016-10-01,2022-01-01,No,20,,5457,3,30740,40대,2021-12-01,2016-10-01 00:00:00,62.9,6985893.651,2,1,1
2086,C-12134,31,126400,63200,여성,37,No,No,0,0,Yes,계좌이체,No,No,No,Yes,4,2021-10-01,2021-11-01,Yes,70,Competitor,2294,1,14690,30대,2021-11-01,2021-10-01 00:00:00,1.033333333,65306.66667,0,0,0
2087,C-12136,,5301300,66266.25,여성,49,Yes,No,0,9,No,계좌이체,Yes,No,Yes,No,14,2015-05-01,2022-01-01,No,77,,5160,3,50620,40대,2021-12-01,2015-05-01 00:00:00,80.2,5314553.25,2,0.999166667,0.998355856
2088,C-12137,31,201800,100900,남성,77,No,No,0,0,Yes,계좌이체,No,No,No,No,20,2021-10-01,2021-11-01,Yes,91,Competitor,3106,1,56050,70대,2021-11-01,2021-10-01 00:00:00,1.033333333,104263.3333,0,0.008689516,0.007721774
2089,C-12138,,381900,29376.92308,여성,50,No,No,0,0,No,신용카드,No,No,No,Yes,18,2020-12-01,2022-01-01,No,55,,4467,3,0,50대,2021-12-01,2020-12-01 00:00:00,12.16666667,357419.2308,0,0.536299953,0.492647769
2090,C-12139,,8469700,117634.7222,여성,38,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,21,2016-01-01,2022-01-01,No,41,,4616,4,18980,30대,2021-12-01,2016-01-01 00:00:00,72.03333333,8473621.157,0,0.999387755,0.995731567
2091,C-12140,215,685800,85725,남성,78,No,No,0,0,No,신용카드,No,No,No,Yes,7,2020-07-01,2021-02-01,Yes,84,Attitude,5638,2,36610,70대,2021-02-01,2020-07-01 00:00:00,7.166666667,614362.5,0,0.437946692,0.334777511
2092,C-12141,,825600,23588.57143,여성,48,Yes,Yes,1,1,No,계좌이체,No,No,No,No,0,2019-02-01,2022-01-01,No,33,,4698,4,44750,40대,2021-12-01,2019-02-01 00:00:00,34.46666667,813019.4286,1,0.994589131,0.993097809
2093,C-12142,,8067400,96040.47619,남성,40,Yes,No,0,10,No,계좌이체,Yes,Yes,Yes,Yes,15,2015-01-01,2022-01-01,No,60,,4162,3,54690,40대,2021-12-01,2015-01-01 00:00:00,84.2,8086608.095,2,1,1
2094,C-12143,,1617800,107853.3333,남성,38,Yes,Yes,2,1,No,계좌이체,Yes,Yes,No,Yes,12,2020-10-01,2022-01-01,No,22,,4648,3,37630,30대,2021-12-01,2020-10-01 00:00:00,14.2,1531517.333,2,0.937498383,0.615358232
2095,C-12144,153,532600,88766.66667,남성,30,No,No,0,0,Yes,계좌이체,No,No,No,Yes,59,2021-03-01,2021-08-01,Yes,87,Competitor,3520,2,53000,30대,2021-08-01,2021-03-01 00:00:00,5.1,452710,0,0.141843972,0.124629812
2096,C-12145,,419000,23277.77778,여성,29,Yes,Yes,3,9,No,신용카드,No,No,No,No,0,2020-07-01,2022-01-01,No,43,,4293,3,6220,20대,2021-12-01,2020-07-01 00:00:00,17.26666667,401929.6296,1,0.959896902,0.950901322
2097,C-12146,,561100,22444,여성,45,Yes,Yes,1,7,Yes,계좌이체,No,No,No,No,0,2019-12-01,2022-01-01,No,22,,4314,3,6330,40대,2021-12-01,2019-12-01 00:00:00,24.36666667,546885.4667,1,0.989022132,0.987637516
2098,C-12147,,1363300,23106.77966,남성,26,Yes,No,0,0,No,계좌이체,No,No,No,No,0,2017-02-01,2022-01-01,No,70,,5394,5,48820,20대,2021-12-01,2017-02-01 00:00:00,58.8,1358678.644,1,0.999550186,0.996765433
2099,C-12148,,506000,33733.33333,남성,62,Yes,No,0,1,No,신용카드,No,Yes,No,Yes,4,2020-10-01,2022-01-01,No,32,,5614,3,0,60대,2021-12-01,2020-10-01 00:00:00,14.2,479013.3333,0,0.458912048,0.383896062
2100,C-12149,,637400,24515.38462,남성,73,Yes,No,0,8,No,신용카드,No,No,No,No,0,2019-11-01,2022-01-01,No,66,,2962,5,51750,70대,2021-12-01,2019-11-01 00:00:00,25.36666667,621873.5897,1,0.930504267,0.920212286
2101,C-12150,,3282700,93791.42857,여성,62,Yes,Yes,2,10,Yes,계좌이체,Yes,No,Yes,Yes,12,2019-02-01,2022-01-01,No,33,,2572,3,37290,60대,2021-12-01,2019-02-01 00:00:00,34.46666667,3232677.905,2,0.998696581,0.995833621
2102,C-12151,,9107100,108417.8571,여성,47,Yes,No,0,8,No,계좌이체,Yes,Yes,Yes,No,16,2015-01-01,2022-01-01,No,42,,6434,3,48930,40대,2021-12-01,2015-01-01 00:00:00,84.2,9128783.571,2,0.999166667,0.999166667
2103,C-12153,,9293200,119143.5897,여성,33,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,20,2015-07-01,2022-01-01,No,46,,6183,3,48700,30대,2021-12-01,2015-07-01 00:00:00,78.16666667,9313057.265,2,1,0.998240741
2104,C-12154,,1936600,29793.84615,남성,37,Yes,Yes,3,3,No,신용카드,No,No,No,No,0,2016-08-01,2022-01-01,No,46,,5794,3,37630,30대,2021-12-01,2016-08-01 00:00:00,64.93333333,1934613.744,1,1,1
2105,C-12155,,2125100,92395.65217,여성,28,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,48,2020-02-01,2022-01-01,No,33,,3885,3,11410,20대,2021-12-01,2020-02-01 00:00:00,22.3,2060423.043,0,0.990798589,0.889478876
2106,C-12156,1856,8240300,132908.0645,남성,44,No,No,0,0,Yes,신용카드,Yes,No,Yes,Yes,11,2016-09-01,2021-10-01,Yes,87,Competitor,4495,1,8810,40대,2021-10-01,2016-09-01 00:00:00,61.86666667,8222578.925,2,1,0.998735119
2107,C-12157,,959600,68542.85714,남성,54,No,Yes,2,0,No,계좌이체,Yes,Yes,No,Yes,12,2020-11-01,2022-01-01,No,78,,3172,4,16840,50대,2021-12-01,2020-11-01 00:00:00,13.16666667,902480.9524,0,0.681810441,0.600347961
2108,C-12158,,306100,23546.15385,여성,48,No,No,0,0,No,신용카드,No,No,No,No,0,2020-12-01,2022-01-01,No,31,,2507,5,4630,40대,2021-12-01,2020-12-01 00:00:00,12.16666667,286478.2051,1,0.977601601,0.971815759
2109,C-12159,31,83500,41750,남성,64,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2021-05-01,2021-06-01,Yes,80,Dissatisfaction,2301,3,0,60대,2021-06-01,2021-05-01 00:00:00,1.033333333,43141.66667,0,0,0
2110,C-12160,2039,6895200,101400,남성,34,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,10,2015-12-01,2021-07-01,Yes,65,Competitor,4421,2,32090,30대,2021-07-01,2015-12-01 00:00:00,67.96666667,6891820,2,0.995794776,0.982756011
2111,C-12161,,2596600,86553.33333,남성,63,No,No,0,0,No,신용카드,No,No,No,Yes,20,2019-07-01,2022-01-01,No,49,,2643,5,4970,60대,2021-12-01,2019-07-01 00:00:00,29.46666667,2550438.222,0,0.9960496,0.887297737
2112,C-12162,,3368400,112280,남성,42,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,16,2019-07-01,2022-01-01,No,40,,4477,4,38650,40대,2021-12-01,2019-07-01 00:00:00,29.46666667,3308517.333,0,0.986890448,0.923263745
2113,C-12163,365,1210600,93123.07692,여성,32,No,No,0,0,No,계좌이체,No,No,No,Yes,18,2020-09-01,2021-09-01,Yes,89,Attitude,4741,3,48140,30대,2021-09-01,2020-09-01 00:00:00,12.16666667,1132997.436,0,0.757623416,0.603864796
2114,C-12164,822,3424100,122289.2857,여성,73,Yes,No,0,5,Yes,계좌이체,Yes,No,Yes,Yes,27,2019-04-01,2021-07-01,Yes,75,Competitor,3444,1,11530,70대,2021-07-01,2019-04-01 00:00:00,27.4,3350726.429,2,0.990884671,0.967150751
2115,C-12165,,8744000,119780.8219,여성,60,Yes,Yes,1,5,Yes,신용카드,Yes,Yes,No,No,19,2015-12-01,2022-01-01,No,57,,4804,3,20680,60대,2021-12-01,2015-12-01 00:00:00,73.06666667,8751985.388,2,0.998729977,0.998112586
2116,C-12166,,9711000,126116.8831,여성,25,Yes,No,0,1,Yes,계좌이체,No,Yes,Yes,Yes,52,2015-08-01,2022-01-01,No,25,,4193,5,31300,20대,2021-12-01,2015-08-01 00:00:00,77.13333333,9727815.584,2,1,0.998587302
2117,C-12167,,1234000,23283.01887,여성,23,No,No,0,0,No,이체/메일확인,No,No,No,No,0,2017-08-01,2022-01-01,No,21,,5913,4,11410,20대,2021-12-01,2017-08-01 00:00:00,52.76666667,1228567.296,1,0.999301665,0.996543116
2118,C-12168,,1817500,58629.03226,남성,51,Yes,Yes,2,10,No,신용카드,No,No,No,No,13,2019-06-01,2022-01-01,No,76,,5749,5,10740,50대,2021-12-01,2019-06-01 00:00:00,30.46666667,1786231.183,1,0.996876666,0.967654696
2119,C-12169,61,178300,59433.33333,여성,42,No,No,0,0,Yes,신용카드,No,Yes,No,No,13,2021-08-01,2021-10-01,Yes,98,Competitor,2960,1,16610,40대,2021-10-01,2021-08-01 00:00:00,2.033333333,120847.7778,1,0.0004,0.0004
2120,C-12170,61,309000,103000,남성,73,Yes,No,0,3,Yes,신용카드,No,No,No,No,11,2020-11-01,2021-01-01,Yes,78,Competitor,5204,1,4750,70대,2021-01-01,2020-11-01 00:00:00,2.033333333,209433.3333,1,0.143678914,0.14018278
2121,C-12171,,367000,22937.5,여성,30,Yes,Yes,2,1,Yes,계좌이체,No,No,No,No,0,2020-09-01,2022-01-01,No,26,,2951,4,32320,30대,2021-12-01,2020-09-01 00:00:00,15.2,348650,1,0.938147725,0.905114441
2122,C-12172,,2433700,65775.67568,남성,34,Yes,Yes,1,6,No,계좌이체,Yes,No,Yes,Yes,22,2018-12-01,2022-01-01,No,63,,3971,4,42940,30대,2021-12-01,2018-12-01 00:00:00,36.53333333,2403004.685,2,0.999115457,0.990002245
2123,C-12173,1826,6527500,107008.1967,남성,21,No,No,0,1,No,계좌이체,No,Yes,No,Yes,52,2016-09-01,2021-09-01,Yes,76,Other,4111,3,37630,20대,2021-09-01,2016-09-01 00:00:00,60.86666667,6513232.24,0,0.994464745,0.973138165
2124,C-12174,242,892700,99188.88889,여성,32,Yes,No,0,0,Yes,신용카드,No,No,No,Yes,16,2021-02-01,2021-10-01,Yes,95,Competitor,2887,1,29830,30대,2021-10-01,2021-02-01 00:00:00,8.066666667,800123.7037,0,0.463567409,0.385208747
2125,C-12175,,8353200,99442.85714,남성,75,Yes,No,0,3,No,신용카드,Yes,Yes,No,Yes,9,2015-01-01,2022-01-01,No,25,,5856,3,18870,70대,2021-12-01,2015-01-01 00:00:00,84.2,8373088.571,2,0.999230769,0.998927739
2126,C-12176,,1138500,66970.58824,남성,24,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,51,2020-08-01,2022-01-01,No,69,,2612,3,46670,20대,2021-12-01,2020-08-01 00:00:00,16.23333333,1087155.882,0,0.865641649,0.78317677
2127,C-12178,,6757400,95174.64789,여성,43,Yes,No,0,1,Yes,신용카드,Yes,No,No,Yes,12,2016-02-01,2022-01-01,No,58,,4709,3,33450,40대,2021-12-01,2016-02-01 00:00:00,71,6757400,2,0.99408049,0.984001997
2128,C-12179,,2402100,30026.25,여성,41,Yes,No,0,8,No,신용카드,No,No,No,No,0,2015-05-01,2022-01-01,No,21,,4747,4,19320,40대,2021-12-01,2015-05-01 00:00:00,80.2,2408105.25,1,0.999622642,0.998867925
2129,C-12180,,1844700,27950,남성,29,No,No,0,7,Yes,계좌이체,No,No,No,No,0,2016-07-01,2022-01-01,No,41,,4039,4,47010,20대,2021-12-01,2016-07-01 00:00:00,65.96666667,1843768.333,1,0.998770958,0.997319182
2130,C-12181,,824900,24261.76471,남성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2019-03-01,2022-01-01,No,55,,2768,4,25990,20대,2021-12-01,2019-03-01 00:00:00,33.53333333,813577.8431,1,0.99681809,0.991889123
2131,C-12182,,3742500,61352.45902,여성,31,No,No,0,6,Yes,신용카드,No,No,No,No,41,2016-12-01,2022-01-01,No,40,,5224,4,32090,30대,2021-12-01,2016-12-01 00:00:00,60.86666667,3734319.672,1,0.996260353,0.986469641
2132,C-12183,,5868600,93152.38095,여성,29,Yes,Yes,2,6,Yes,계좌이체,Yes,Yes,No,Yes,71,2016-10-01,2022-01-01,No,64,,6321,3,2830,20대,2021-12-01,2016-10-01 00:00:00,62.9,5859284.762,2,1,0.999677419
2133,C-12184,,935500,30177.41935,여성,50,Yes,Yes,2,4,No,신용카드,No,No,No,No,0,2019-06-01,2022-01-01,No,44,,5038,3,43390,50대,2021-12-01,2019-06-01 00:00:00,30.46666667,919405.3763,1,1,0.998421053
2134,C-12185,,1272300,90878.57143,여성,56,No,Yes,1,0,No,신용카드,Yes,No,No,Yes,11,2020-11-01,2022-01-01,No,40,,5346,4,5990,50대,2021-12-01,2020-11-01 00:00:00,13.16666667,1196567.857,0,0.902034167,0.777095643
2135,C-12186,,598200,23007.69231,여성,56,Yes,No,0,9,No,이체/메일확인,No,No,No,No,0,2019-11-01,2022-01-01,No,47,,5620,3,21470,50대,2021-12-01,2019-11-01 00:00:00,25.36666667,583628.4615,1,0.991498104,0.991433379
2136,C-12187,1737,3005900,51825.86207,남성,70,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,3,2016-05-01,2021-02-01,Yes,82,Attitude,5172,2,0,70대,2021-02-01,2016-05-01 00:00:00,57.9,3000717.414,0,0.98301337,0.882627209
2137,C-12188,,9719300,115705.9524,남성,25,Yes,Yes,3,1,Yes,신용카드,Yes,Yes,Yes,Yes,59,2015-01-01,2022-01-01,No,46,,4054,3,23500,20대,2021-12-01,2015-01-01 00:00:00,84.2,9742441.19,2,1,0.998892857
2138,C-12189,,8549300,113990.6667,여성,49,No,No,0,0,No,신용카드,Yes,Yes,No,Yes,21,2015-10-01,2022-01-01,No,75,,5989,4,26670,40대,2021-12-01,2015-10-01 00:00:00,75.1,8560699.067,2,0.999787234,0.999442406
2139,C-12190,,1169800,73112.5,여성,58,No,No,0,0,Yes,신용카드,No,No,Yes,Yes,19,2020-09-01,2022-01-01,No,61,,3334,4,1240,50대,2021-12-01,2020-09-01 00:00:00,15.2,1111310,0,0.924714582,0.826941478
2140,C-12191,,2192900,75617.24138,남성,32,Yes,No,0,2,No,신용카드,Yes,Yes,No,Yes,11,2019-08-01,2022-01-01,No,70,,3546,4,51300,30대,2021-12-01,2019-08-01 00:00:00,28.43333333,2150050.23,2,0.991214114,0.957273355
2141,C-12192,184,716300,102328.5714,남성,61,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,27,2021-03-01,2021-09-01,Yes,75,Attitude,4694,3,13560,60대,2021-09-01,2021-03-01 00:00:00,6.133333333,627615.2381,0,0.529042718,0.48426785
2142,C-12193,1705,6321100,110896.4912,남성,21,No,No,0,0,Yes,계좌이체,No,Yes,Yes,Yes,51,2017-04-01,2021-12-01,Yes,96,Attitude,4830,3,28700,20대,2021-12-01,2017-04-01 00:00:00,56.83333333,6302617.251,2,0.998622058,0.997820744
2143,C-12194,395,1425200,101800,여성,52,Yes,No,0,1,No,계좌이체,No,No,No,Yes,10,2020-09-01,2021-10-01,Yes,81,Competitor,3740,2,20110,50대,2021-10-01,2020-09-01 00:00:00,13.16666667,1340366.667,0,0.831786979,0.380534212
2144,C-12195,182,401400,57342.85714,여성,59,Yes,No,0,1,Yes,계좌이체,No,No,Yes,Yes,28,2020-12-01,2021-06-01,Yes,86,Competitor,5271,1,7800,50대,2021-06-01,2020-12-01 00:00:00,6.066666667,347880,0,0.093027134,0.083510731
2145,C-12196,,8939700,107707.2289,남성,40,Yes,No,0,8,Yes,계좌이체,No,Yes,No,No,7,2015-02-01,2022-01-01,No,63,,6035,4,30060,40대,2021-12-01,2015-02-01 00:00:00,83.16666667,8957651.205,2,1,0.998666667
2146,C-12197,,522600,23754.54545,남성,23,No,No,0,3,No,계좌이체,No,No,No,No,0,2020-03-01,2022-01-01,No,57,,3778,5,44520,20대,2021-12-01,2020-03-01 00:00:00,21.33333333,506763.6364,1,0.991800408,0.987817817
2147,C-12198,,8682600,103364.2857,여성,71,Yes,No,0,1,Yes,신용카드,Yes,Yes,Yes,Yes,6,2015-01-01,2022-01-01,No,8,,6102,3,23170,70대,2021-12-01,2015-01-01 00:00:00,84.2,8703272.857,2,0.999444444,0.999
2148,C-12199,,2411300,29769.1358,여성,23,No,No,0,10,Yes,신용카드,No,No,No,No,0,2015-04-01,2022-01-01,No,45,,4106,3,50960,20대,2021-12-01,2015-04-01 00:00:00,81.2,2417253.827,1,0.998787879,0.998454545
2149,C-12201,,6203300,105140.678,남성,57,Yes,Yes,1,3,No,계좌이체,Yes,No,No,Yes,20,2017-02-01,2022-01-01,No,78,,3291,4,43280,50대,2021-12-01,2017-02-01 00:00:00,58.8,6182271.864,2,0.997954545,0.995496025
2150,C-12202,,1729100,24015.27778,남성,28,Yes,No,0,9,Yes,계좌이체,No,No,No,No,0,2016-01-01,2022-01-01,No,63,,5848,5,35370,20대,2021-12-01,2016-01-01 00:00:00,72.03333333,1729900.509,1,0.9988,0.9988
2151,C-12203,,308600,22042.85714,남성,58,No,Yes,1,0,No,신용카드,No,No,No,No,0,2020-11-01,2022-01-01,No,45,,4725,3,23960,50대,2021-12-01,2020-11-01 00:00:00,13.16666667,290230.9524,1,0.964179862,0.951067494
2152,C-12204,59,326700,108900,여성,57,No,No,0,0,Yes,계좌이체,No,No,No,Yes,28,2021-01-01,2021-03-01,Yes,83,Competitor,3391,2,54580,50대,2021-03-01,2021-01-01 00:00:00,1.966666667,214170,0,0.000625,0.000625
2153,C-12205,,3530800,54320,남성,37,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,24,2016-08-01,2022-01-01,No,63,,6245,3,0,30대,2021-12-01,2016-08-01 00:00:00,64.93333333,3527178.667,0,0.999693487,0.996457963
2154,C-12206,,4917800,106908.6957,남성,61,Yes,Yes,3,10,Yes,신용카드,No,No,No,Yes,57,2018-03-01,2022-01-01,No,59,,4648,4,22710,60대,2021-12-01,2018-03-01 00:00:00,45.7,4885727.391,2,0.9988875,0.997470475
2155,C-12207,,5645000,78402.77778,남성,35,Yes,No,0,4,Yes,계좌이체,Yes,Yes,Yes,Yes,30,2016-01-01,2022-01-01,No,48,,4053,3,49270,30대,2021-12-01,2016-01-01 00:00:00,72.03333333,5647613.426,2,1,1
2156,C-12208,,7714500,115141.791,여성,75,No,No,0,0,Yes,계좌이체,No,No,No,Yes,3,2016-06-01,2022-01-01,No,64,,5182,4,33450,70대,2021-12-01,2016-06-01 00:00:00,66.96666667,7710661.94,0,0.995701489,0.986204669
2157,C-12209,,6933700,106672.3077,남성,25,Yes,Yes,2,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2016-08-01,2022-01-01,No,27,,4700,3,27460,20대,2021-12-01,2016-08-01 00:00:00,64.93333333,6926588.513,2,1,1
2158,C-12210,153,492800,82133.33333,남성,39,No,No,0,0,Yes,신용카드,No,No,No,No,22,2021-06-01,2021-11-01,Yes,77,Competitor,2673,2,51190,30대,2021-11-01,2021-06-01 00:00:00,5.1,418880,1,0.15935115,0.152100355
2159,C-12211,,4379500,63471.01449,남성,56,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,30,2016-04-01,2022-01-01,No,58,,5594,4,0,50대,2021-12-01,2016-04-01 00:00:00,69,4379500,0,0.998034044,0.991054977
2160,C-12212,31,117200,58600,남성,47,Yes,No,0,1,Yes,신용카드,No,No,No,Yes,6,2021-08-01,2021-09-01,Yes,73,Other,3706,2,16840,40대,2021-09-01,2021-08-01 00:00:00,1.033333333,60553.33333,0,0,0
2161,C-12213,,7405300,101442.4658,여성,57,No,No,0,0,No,신용카드,Yes,No,Yes,Yes,24,2015-12-01,2022-01-01,No,74,,4471,4,5090,50대,2021-12-01,2015-12-01 00:00:00,73.06666667,7412062.831,2,0.999693487,0.998327238
2162,C-12214,,5941000,118820,남성,71,Yes,Yes,1,9,No,계좌이체,No,Yes,No,Yes,27,2017-11-01,2022-01-01,No,78,,4036,5,31980,70대,2021-12-01,2017-11-01 00:00:00,49.7,5905354,2,0.998993789,0.998224558
2163,C-12215,,8744700,121454.1667,여성,30,No,No,0,0,Yes,계좌이체,Yes,No,Yes,Yes,48,2016-01-01,2022-01-01,No,62,,5926,4,25880,30대,2021-12-01,2016-01-01 00:00:00,72.03333333,8748748.472,2,0.999693487,0.995426416
2164,C-12216,,1501100,24211.29032,여성,37,Yes,No,0,5,No,계좌이체,No,No,No,No,0,2016-11-01,2022-01-01,No,20,,5849,4,30510,30대,2021-12-01,2016-11-01 00:00:00,61.86666667,1497871.828,1,1,1
2165,C-12217,,1327800,63228.57143,여성,51,Yes,Yes,3,1,Yes,신용카드,No,Yes,No,Yes,22,2020-04-01,2022-01-01,No,80,,4291,5,26440,50대,2021-12-01,2020-04-01 00:00:00,20.3,1283540,2,0.846527927,0.549956921
2166,C-12218,,1919200,23122.89157,여성,22,No,No,0,5,No,신용카드,No,No,No,No,0,2015-02-01,2022-01-01,No,52,,5921,3,25310,20대,2021-12-01,2015-02-01 00:00:00,83.16666667,1923053.815,1,1,1
2167,C-12219,,4361300,75194.82759,여성,61,Yes,No,0,1,Yes,신용카드,No,Yes,Yes,Yes,6,2017-03-01,2022-01-01,No,41,,4699,4,41810,60대,2021-12-01,2017-03-01 00:00:00,57.86666667,4351274.023,2,0.99903602,0.980882936
2168,C-12220,,6019600,128076.5957,남성,24,No,Yes,1,8,Yes,계좌이체,No,Yes,Yes,Yes,73,2018-02-01,2022-01-01,No,71,,5721,3,54580,20대,2021-12-01,2018-02-01 00:00:00,46.63333333,5972638.582,2,0.998787879,0.998787879
2169,C-12222,,804800,22994.28571,여성,34,No,No,0,0,Yes,신용카드,No,No,No,No,0,2019-02-01,2022-01-01,No,58,,5916,3,11750,30대,2021-12-01,2019-02-01 00:00:00,34.46666667,792536.381,1,0.992043275,0.988551293
2170,C-12224,,2451500,74287.87879,남성,79,Yes,No,0,5,Yes,계좌이체,Yes,Yes,No,Yes,30,2019-04-01,2022-01-01,No,23,,4604,4,48590,70대,2021-12-01,2019-04-01 00:00:00,32.5,2414356.061,2,0.976878349,0.937608603
2171,C-12225,,667600,23842.85714,남성,40,Yes,Yes,1,2,No,계좌이체,No,No,No,No,0,2019-09-01,2022-01-01,No,68,,3677,4,36160,40대,2021-12-01,2019-09-01 00:00:00,27.4,653294.2857,1,0.993782372,0.992885048
2172,C-12226,,4921900,60023.17073,남성,23,No,No,0,10,Yes,계좌이체,No,Yes,Yes,No,41,2015-03-01,2022-01-01,No,69,,4042,4,0,20대,2021-12-01,2015-03-01 00:00:00,82.23333333,4935905.407,2,0.999583333,0.999583333
2173,C-12227,,9642800,123625.641,남성,44,No,No,0,0,Yes,계좌이체,Yes,No,Yes,Yes,11,2015-07-01,2022-01-01,No,38,,5097,4,35030,40대,2021-12-01,2015-07-01 00:00:00,78.16666667,9663404.274,2,1,0.997826028
2174,C-12229,,595800,22915.38462,남성,49,No,Yes,1,0,No,신용카드,No,No,No,No,0,2019-11-01,2022-01-01,No,71,,5770,5,45990,40대,2021-12-01,2019-11-01 00:00:00,25.36666667,581286.9231,1,0.999386062,0.997012042
2175,C-12230,,1382900,23843.10345,여성,42,Yes,Yes,1,7,No,계좌이체,No,No,No,No,0,2017-03-01,2022-01-01,No,58,,3879,3,31300,40대,2021-12-01,2017-03-01 00:00:00,57.86666667,1379720.92,1,1,1
2176,C-12231,1492,5864500,117290,남성,42,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,3,2017-01-01,2021-02-01,Yes,82,Competitor,5585,2,21470,40대,2021-02-01,2017-01-01 00:00:00,49.73333333,5833222.667,0,0.995420836,0.98153314
2177,C-12232,,1369100,91273.33333,여성,57,Yes,Yes,1,5,Yes,계좌이체,No,No,No,Yes,17,2020-10-01,2022-01-01,No,46,,2081,4,26780,50대,2021-12-01,2020-10-01 00:00:00,14.2,1296081.333,0,0.93405151,0.843152983
2178,C-12233,,4479800,97386.95652,남성,63,Yes,Yes,1,10,Yes,신용카드,No,No,No,Yes,26,2018-03-01,2022-01-01,No,67,,3476,3,6440,60대,2021-12-01,2018-03-01 00:00:00,45.7,4450583.913,2,0.9996875,0.991635263
2179,C-12234,2069,8847400,128223.1884,남성,26,Yes,No,0,4,Yes,계좌이체,No,Yes,Yes,Yes,47,2016-02-01,2021-10-01,Yes,86,Competitor,5034,2,16720,20대,2021-10-01,2016-02-01 00:00:00,68.96666667,8843125.894,2,1,1
2180,C-12235,1522,5061600,99247.05882,여성,59,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,17,2017-08-01,2021-10-01,Yes,80,Competitor,5135,1,39890,50대,2021-10-01,2017-08-01 00:00:00,50.73333333,5035134.118,0,0.997006079,0.986449031
